Major Name,Major URL
Master of Professional Accountancy,https://ucdavis.pubs.curricunet.com/Preview/9/master-professional-accountancy
Master of Business Administration,{host}/{controller}/{action}/{catalogId}/6897
Master of Business Administration Online,{host}/{controller}/{action}/{catalogId}/7586
Master of Health Services—Physician Assistant Studies Program,https://ucdavis.pubs.curricunet.com/Preview/9/master-health-services
Master of Preventive Veterinary Medicine,https://ucdavis.pubs.curricunet.com/Preview/9/master-preventive-veterinary-medicine
Master's Entry Program in Nursing,https://ucdavis.pubs.curricunet.com/Preview/9/masters-entry-program-nursing
Materials Science & Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/ems
Maternal & Child Nutrition,https://ucdavis.pubs.curricunet.com/Preview/9/maternal-child-nutrition
Mathematical Analytics & Operations Research,https://ucdavis.pubs.curricunet.com/Preview/9/mathematical-analytics-operations-research
Mathematical & Scientific Computation,https://ucdavis.pubs.curricunet.com/Preview/9/mathematical-scientific-computation
Mathematics,https://ucdavis.pubs.curricunet.com/Preview/9/mat
Mechanical & Aerospace Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/mae
Mechanical Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/eme
Medicine,https://ucdavis.pubs.curricunet.com/Preview/9/som
Medieval & Early Modern Studies,https://ucdavis.pubs.curricunet.com/Preview/9/mst
Microbiology,https://ucdavis.pubs.curricunet.com/Preview/9/mib
Microbiology,https://ucdavis.pubs.curricunet.com/Preview/9/mib
Middle East/South Asia Studies,https://ucdavis.pubs.curricunet.com/Preview/9/msa
Molecular & Medical Microbiology,https://ucdavis.pubs.curricunet.com/Preview/9/mic
"Molecular, Cellular, & Integrative Physiology",https://ucdavis.pubs.curricunet.com/Preview/9/mcp
Music,https://ucdavis.pubs.curricunet.com/Preview/9/mus
Native American Studies,https://ucdavis.pubs.curricunet.com/Preview/9/nas
Natural Sciences,https://ucdavis.pubs.curricunet.com/Preview/9/natural-sciences
"Neurobiology, Physiology, & Behavior",https://ucdavis.pubs.curricunet.com/Preview/9/npb
Neuroscience,https://ucdavis.pubs.curricunet.com/Preview/9/nsc
Nursing Science & Health-Care Leadership,https://ucdavis.pubs.curricunet.com/Preview/9/nursing-science-health-care-leadership
Nutrition Science,https://ucdavis.pubs.curricunet.com/Preview/9/nutrition-science
Nutritional Biology,https://ucdavis.pubs.curricunet.com/Preview/9/nub
Performance Studies,https://ucdavis.pubs.curricunet.com/Preview/9/pfs
Pharmaceutical Chemistry,https://ucdavis.pubs.curricunet.com/Preview/9/pharmaceutical-chemistry
Pharmacology & Toxicology,https://ucdavis.pubs.curricunet.com/Preview/9/ptx
Philosophy,https://ucdavis.pubs.curricunet.com/Preview/9/phi
Physician Assistant Studies,https://ucdavis.pubs.curricunet.com/Preview/9/master-health-services
Physics,https://ucdavis.pubs.curricunet.com/Preview/9/phy
Plant Biology,https://ucdavis.pubs.curricunet.com/Preview/9/plb
